Ngày quyết định,Số quyết định,Mã TTHC,Tên thủ tục,Lĩnh vực,Loại thay đổi,Chi tiết thay đổi,Cấp/thẩm quyền,Ngày hiệu lực,Trạng thái canonical,URL bài công bố,URL file quyết định,SHA-256,Ghi chú nguồn
2026-09-03,3508/QĐ-UBND,1.000703,"Cấp Gi ấy phép kinh doanh v ận tải bằng xe ô tô, bằng xe b ốn bánh có g ắn động cơ",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"định Sau khi cắt giảm 1 1.000703 Cấp Gi ấy phép kinh doanh v ận tải bằng xe ô tô, bằng xe b ốn bánh có g ắn động cơ 04 ngày làm việc kể từ ngày nhận đủ hồ sơ đúng theo quy định 2,5 ngày làm việc kể từ ngày nhận đủ hồ sơ đúng"
2026-09-03,3508/QĐ-UBND,1.001023,"Cấp, c ấp l ại Giấy phép liên vận gi ữa Vi ệt Nam và Campuchia",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 21 1.001023 Cấp, c ấp l ại Giấy phép liên vận gi ữa Vi ệt Nam và Campuchia 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm"
2026-09-03,3508/QĐ-UBND,1.001577,Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Campuchia,ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,số 158/2024/NĐ-CP ng ày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 22 1.001577 Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Campuchia 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm
2026-09-03,3508/QĐ-UBND,1.001737,Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Trung Quốc,ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 14 1.001737 Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Trung Quốc 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm
2026-09-03,3508/QĐ-UBND,1.002046,Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa các nư ớc th ực hiện Hi ệp đ ịnh GMS,ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 10 1.002046 Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa các nư ớc th ực hiện Hi ệp đ ịnh GMS 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công
2026-09-03,3508/QĐ-UBND,1.002063,Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Lào,ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 18 1.002063 Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Lào 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm
2026-09-03,3508/QĐ-UBND,1.002268,"Đăng ký khai thác tuy ến, b ổ sung ho ặc thay thế phương ti ện khai thác tuy ến vận t ải hành khách c ố định giữa Vi ệt Nam, Lào và Campuchia",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 13 1.002268 Đăng ký khai thác tuy ến, b ổ sung ho ặc thay thế phương ti ện khai thác tuy ến vận t ải hành khách c ố định giữa Vi ệt Nam, Lào và Campuchia 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm"
2026-09-03,3508/QĐ-UBND,1.002286,"Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Lào, Campuchia",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"cắt giảm xã 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 12 1.002286 Gia h ạn th ời gian lưu hành tại Việt Nam cho phương ti ện c ủa Lào, Campuchia 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm"
2026-09-03,3508/QĐ-UBND,1.002334,"Đăng ký khai thác tuy ến, b ổ sung ho ặc thay thế phương ti ện khai thác tuy ến vận t ải hành khách đ ịnh k ỳ giữa Vi ệt Nam và Trung Quốc",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 15 1.002334 Đăng ký khai thác tuy ến, b ổ sung ho ặc thay thế phương ti ện khai thác tuy ến vận t ải hành khách đ ịnh k ỳ giữa Vi ệt Nam và Trung Quốc 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm"
2026-09-03,3508/QĐ-UBND,1.002817,"Cấp, c ấp l ại Giấy phép liên vận GMS ho ặc sổ TAD",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"Sau khi cắt giảm định về hoạt động vận tải đường bộ. 9 1.002817 Cấp, c ấp l ại Giấy phép liên vận GMS ho ặc sổ TAD 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm Phục v ụ hành"
2026-09-03,3508/QĐ-UBND,1.002829,"Cấp, c ấp l ại Giấy phép v ận tải đư ờng b ộ quốc tế GMS",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính phủ quy định về hoạt động vận tải đường bộ. 8 1.002829 Cấp, c ấp l ại Giấy phép v ận tải đư ờng b ộ quốc tế GMS 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm Phục v ụ hành"
2026-09-03,3508/QĐ-UBND,1.002847,"Đăng ký khai thác tuy ến, b ổ sung, thay th ế phương tiện khai thác tuy ến v ận tải hành khách cố định gi ữa Việt Nam và Lào",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 19 1.002847 Đăng ký khai thác tuy ến, b ổ sung, thay th ế phương tiện khai thác tuy ến v ận tải hành khách cố định gi ữa Việt Nam và Lào 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm"
2026-09-03,3508/QĐ-UBND,1.002856,"Cấp, c ấp l ại Giấy phép liên vận gi ữa Vi ệt Nam và Lào",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP n gày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 17 1.002856 Cấp, c ấp l ại Giấy phép liên vận gi ữa Vi ệt Nam và Lào 01 ngày làm việc kể từ ngày nhận đủ hồ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố Không quy định - Nghị định s ố 158/2024/NĐ-CP"
2026-09-03,3508/QĐ-UBND,1.002861,"Cấp, c ấp l ại Giấy phép v ận tải đư ờng b ộ quốc t ế giữa Việt Nam và Lào",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 16 1.002861 Cấp, c ấp l ại Giấy phép v ận tải đư ờng b ộ quốc t ế giữa Việt Nam và Lào 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố"
2026-09-03,3508/QĐ-UBND,1.002877,"Cấp, c ấp l ại Giấy phép liên vận gi ữa Vi ệt Nam, Lào và Campuchia",ĐƯỜNG BỘ,modified,Sửa đổi/bổ sung,,,current,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,525444c6f7c5736bdb20bcd302536e4f5327eceeeae0a922588dd1cb6dad07a7,"số 158/2024/NĐ-CP ngày 18 tháng 12 năm 2024 c ủa Chính ph ủ quy định về hoạt động vận tải đường bộ. 11 1.002877 Cấp, c ấp l ại Giấy phép liên vận gi ữa Vi ệt Nam, Lào và Campuchia 01 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ Không thực hi ện cắt giảm - Trung tâm Phục v ụ hành chính công thành phố - Trung tâm"
